# work: tlg0011.tlg002
# base (canonical axis): perseus-grc2
# target: benloew1858-grc1
# generated: 2026-08-30  method: exact anchors plus local sequence alignment
base	target	type	score	review
1	1	exact	1.000	
2	2	match	0.952	
3	3	exact	1.000	
4	4	match	0.968	
5	5	match	0.952	
6	6	match	0.982	
7	7	match	0.984	
8	8	exact	1.000	
9	9	exact	1.000	
10	10	exact	1.000	
11	11	exact	1.000	
12	12	match	0.949	
13	13	exact	1.000	
14	14	match	0.941	
15	15	exact	1.000	
16	16	match	0.983	
17	17	match	0.966	
18	18	match	0.983	
19	19	match	0.968	
20	20	match	0.970	
21	21	exact	1.000	
22	22	match	0.984	
23	23	match	0.982	
24	24	match	0.918	
25	25	exact	1.000	
26	26	match	0.985	
27	27	exact	1.000	
28	28	exact	1.000	
29	29	match	0.969	
30	30	exact	1.000	
31	31	exact	1.000	
32	32	match	0.983	
33	33	match	0.985	
34	34	match	0.984	
35	35	match	0.969	
36	36	exact	1.000	
37	37	exact	1.000	
38	38	match	0.968	
39	39	match	0.935	
40	40	match	0.969	
41	41	exact	1.000	
42	42	match	0.984	
43	43	exact	1.000	
44	44	match	0.985	
45	45	exact	1.000	
46	46	match	0.983	
47	47	exact	1.000	
48	48	match	0.952	
49	49	exact	1.000	
50	50	match	0.982	
51	51	exact	1.000	
52	52	match	0.947	
53	53	exact	1.000	
54	54	exact	1.000	
55	55	match	0.967	
56	56	exact	1.000	
57	57	match	0.928	
58	58	match	0.984	
59	59	match	0.963	
60	60	exact	1.000	
61	61	match	0.968	
62	62	exact	1.000	
63	63	match	0.955	
64	64	match	0.967	
65	65	exact	1.000	
66	66	exact	1.000	
67	67	exact	1.000	
68	68	exact	1.000	
69	69	match	0.952	
70	70	match	0.983	
71	71	match	0.951	
72	72	exact	1.000	
73	73	match	0.983	
74	74	match	0.984	
75	75	match	0.984	
76	76	match	0.984	
77	77	match	0.962	
78	78	exact	1.000	
79	79	exact	1.000	
80	80	match	0.967	
81	81	match	0.983	
82	82	exact	1.000	
83	83	match	0.985	
84	84	match	0.933	
85	85	match	0.984	
86	86	exact	1.000	
87	87	match	0.980	
88	88	exact	1.000	
89	89	match	0.943	
90	90	match	0.966	
91	91	exact	1.000	
92	92	exact	1.000	
93	93	exact	1.000	
94	94	exact	1.000	
95	95	match	0.983	
96	96	exact	1.000	
97	97	exact	1.000	
98	98	match	0.954	
99	99	match	0.985	
100	100,101	split_merge	1.000	
101	102	exact	1.000	
102	103	match	0.919	
103	104	exact	1.000	
105	105	exact	1.000	
106	106,107	split_merge	0.842	
107	108,109	split_merge	1.000	
110	110	match	0.833	
111	111	exact	1.000	
112	112	match	0.645	
113	113	match	0.645	
114	114	exact	1.000	
115	115	match	0.966	
116	116	match	0.980	
117	117,118	split_merge	0.988	
118	119	exact	1.000	
119	120	match	0.973	
120	121,122	split_merge	1.000	
121	123,124	split_merge	0.974	
125	125,126	split_merge	0.961	
127	127	exact	1.000	
128	128	exact	1.000	
129	129	exact	1.000	
130	130	match	0.917	
131	131	exact	1.000	
132	132	match	0.952	
133	133	match	0.974	
134	134	match	0.983	
135	135	exact	1.000	
136	136	exact	1.000	
137	137	exact	1.000	
138	138	match	0.966	
139	139	match	0.975	
140	140	exact	1.000	
141	141	match	0.981	
142	142	exact	1.000	
143	143	exact	1.000	
144	144	exact	1.000	
145	145	match	0.981	
146	146	match	0.982	
147	147	exact	1.000	
148	148	exact	1.000	
149	149	exact	1.000	
150	150	exact	1.000	
151	151	match	0.930	
152	152	exact	1.000	
153	153	match	0.865	
154	154	match	0.727	
155	155	match	0.980	
156	156	match	0.691	
157	157	match	0.531	REVIEW
158,160	158	split_merge	0.667	
161	159	match	0.683	
161b	160	exact	1.000	
162	161	exact	1.000	
163	162	exact	1.000	
164	163	match	0.983	
165	164	match	0.982	
166	165	exact	1.000	
167	166	match	0.969	
168	167	match	0.982	
169	168	exact	1.000	
170	169	match	0.985	
171	170	match	0.983	
172	171	exact	1.000	
173	172	exact	1.000	
174	173	match	0.983	
175	174	exact	1.000	
176	175	exact	1.000	
177	176	exact	1.000	
178	177	exact	1.000	
179	178	exact	1.000	
180	179	match	0.939	
181	180	exact	1.000	
182	181	exact	1.000	
183	182	exact	1.000	
184	183	match	0.981	
185	184	match	0.981	
186	185	exact	1.000	
187	186	match	0.969	
188	187	exact	1.000	
189	188	match	0.982	
190	189	exact	1.000	
191	190	match	0.968	
192	191	exact	1.000	
193	192	match	0.983	
194	193	exact	1.000	
195	194	match	0.966	
196	195	match	0.951	
197	196	exact	1.000	
198	197	match	0.970	
199	198	exact	1.000	
200	199	exact	1.000	
201	200	match	0.967	
202	201	exact	1.000	
203	202	match	0.918	
204	203	exact	1.000	
205	204	match	0.983	
206	205	match	0.985	
207	206	match	0.952	
208	207	match	0.984	
209	208	match	0.984	
210	209	exact	1.000	
211	210	match	0.984	
212	211	match	0.968	
213	212	match	0.903	
214	213	exact	1.000	
215	214	match	0.947	
216	215	exact	1.000	
217	216	match	0.925	
218	217	match	0.967	
219	218	match	0.984	
220	219	exact	1.000	
221	220	match	0.954	
222	221	exact	1.000	
223	222	exact	1.000	
224	223	exact	1.000	
225	224	exact	1.000	
226	225	exact	1.000	
227	226	exact	1.000	
228	227	exact	1.000	
229	228	match	0.985	
230	229	match	0.970	
231	230	match	0.984	
232	231	exact	1.000	
233	232	match	0.984	
234	233	match	0.982	
235	234	exact	1.000	
236	235	exact	1.000	
237	236	match	0.951	
238	237	exact	1.000	
239	238	match	0.943	
240	239	match	0.982	
241	240	match	0.967	
242	241	match	0.984	
243	242	match	0.985	
244	243	match	0.970	
245	244	exact	1.000	
246	245	exact	1.000	
247	246	exact	1.000	
248	247	exact	1.000	
249	248	match	0.983	
250	249	match	0.985	
251	250	match	0.983	
252	251	match	0.984	
253	252	match	0.982	
254	253	exact	1.000	
255	254	exact	1.000	
256	255	match	0.984	
257	256	match	0.982	
258	257	exact	1.000	
259	258	match	0.984	
260	259	exact	1.000	
261	260	match	0.967	
262	261	exact	1.000	
263	262	match	0.939	
264	263	match	0.986	
265	264	exact	1.000	
266	265	exact	1.000	
267	266	match	0.954	
268	267	match	0.967	
269	268	match	0.983	
270	269	exact	1.000	
271	270	match	0.970	
272	271	match	0.983	
