# Perseus edition alignment crosswalk
# work: tlg0011.tlg002
# base (canonical axis): perseus-grc2  [Greek (F. Storr, 1912)]
# target: boeckh-grc1  [Greek (A. Boeckh, 1884)]
# generated: 2026-06-09  tool: align-editions v0.1
# records: 1241  flagged_for_review: 56  review_below: 0.9
# base/target = comma-joined <l n> values; empty cell = no counterpart
# type = exact | fuzzy | split(1 base:N target) | merge(N base:1 target) | base_only | target_only
base	target	type	score	review
1	1	exact	1.000	
2	2	fuzzy	0.987	
3	3	exact	1.000	
4	4	exact	1.000	
5	5	exact	1.000	
6	6	exact	1.000	
7	7	exact	1.000	
8	8	exact	1.000	
9	9	exact	1.000	
10	10	exact	1.000	
11	11	exact	1.000	
12	12	fuzzy	0.985	
13	13	exact	1.000	
14	14	fuzzy	0.949	
15	15	exact	1.000	
16	16	exact	1.000	
17	17	exact	1.000	
18	18	exact	1.000	
19	19	exact	1.000	
20	20	exact	1.000	
21	21	exact	1.000	
22	22	exact	1.000	
23	23	fuzzy	0.985	
24	24	fuzzy	0.930	
25	25	exact	1.000	
26	26	exact	1.000	
27	27	exact	1.000	
28	28	exact	1.000	
29	29	exact	1.000	
30	30	exact	1.000	
31	31	exact	1.000	
32	32	exact	1.000	
33	33	exact	1.000	
34	34	exact	1.000	
35	35	exact	1.000	
36	36	exact	1.000	
37	37	exact	1.000	
38	38	exact	1.000	
39	39	exact	1.000	
40	40	exact	1.000	
41	41	exact	1.000	
42	42	exact	1.000	
43	43	exact	1.000	
44	44	exact	1.000	
45	45	exact	1.000	
46	46	exact	1.000	
47	47	exact	1.000	
48	48	fuzzy	0.973	
49	49	exact	1.000	
50	50	exact	1.000	
51	51	exact	1.000	
52	52	exact	1.000	
53	53	exact	1.000	
54	54	exact	1.000	
55	55	exact	1.000	
56	56	exact	1.000	
57	57	fuzzy	0.987	
58	58	exact	1.000	
59	59	exact	1.000	
60	60	exact	1.000	
61	61	exact	1.000	
62	62	exact	1.000	
63	63	exact	1.000	
64	64	exact	1.000	
65	65	exact	1.000	
66	66	exact	1.000	
67	67	exact	1.000	
68	68	exact	1.000	
69	69	exact	1.000	
70	70	exact	1.000	
71	71	exact	1.000	
72	72	exact	1.000	
73	73	exact	1.000	
74	74	exact	1.000	
75	75	exact	1.000	
76	76	exact	1.000	
77	77	exact	1.000	
78	78	exact	1.000	
79	79	exact	1.000	
80	80	exact	1.000	
81	81	exact	1.000	
82	82	exact	1.000	
83	83	exact	1.000	
84	84	exact	1.000	
85	85	exact	1.000	
86	86	exact	1.000	
87	87	exact	1.000	
88	88	exact	1.000	
89	89	exact	1.000	
90	90	exact	1.000	
91	91	exact	1.000	
92	92	exact	1.000	
93	93	exact	1.000	
94	94	exact	1.000	
95	95	exact	1.000	
96	96	exact	1.000	
97	97	fuzzy	0.974	
98	98	exact	1.000	
99	99	exact	1.000	
100	100,101	split	0.988	
101	102	fuzzy	0.955	
102,103	103	merge	1.000	
105	104	exact	1.000	
106	105,106	split	0.810	REVIEW
107	107,108	split	1.000	
110	109	fuzzy	0.873	REVIEW
111	110	exact	1.000	
112	111	fuzzy	0.595	REVIEW
113	112	fuzzy	0.960	
114	113	exact	1.000	
115	114	exact	1.000	
116	115	exact	1.000	
117	116,117	split	0.989	
118	118	exact	1.000	
119	119	fuzzy	0.724	REVIEW
120	120	fuzzy	0.805	REVIEW
121	121,122	split	1.000	
125	123,124	split	0.965	
127	125	exact	1.000	
128	126	exact	1.000	
129	127	exact	1.000	
130	128	fuzzy	0.923	
131	129	exact	1.000	
132	130	exact	1.000	
133	131	exact	1.000	
134	132	exact	1.000	
135	133	exact	1.000	
136,137	134	merge	1.000	
138	135	exact	1.000	
139	136	exact	1.000	
140	137	exact	1.000	
141	138	exact	1.000	
142	139	exact	1.000	
143	140	exact	1.000	
144	141	exact	1.000	
145	142	exact	1.000	
146	143	exact	1.000	
147	144	exact	1.000	
148	145	exact	1.000	
149	146	exact	1.000	
150,151	147	merge	0.965	
152	148	exact	1.000	
153	149	exact	1.000	
154	150	exact	1.000	
155	151	exact	1.000	
156	152	fuzzy	0.754	REVIEW
157	153,154	split	0.667	REVIEW
158,160	155	merge	0.651	REVIEW
161	156	fuzzy	0.667	REVIEW
161b	157	exact	1.000	
162	158	exact	1.000	
163	159	exact	1.000	
164	160	exact	1.000	
165	161	exact	1.000	
166	162	exact	1.000	
167	163	exact	1.000	
168	164	exact	1.000	
169	165	exact	1.000	
170	166	exact	1.000	
171	167	exact	1.000	
172	168	exact	1.000	
173	169	exact	1.000	
174	170	exact	1.000	
175	171	exact	1.000	
176	172	exact	1.000	
177	173	exact	1.000	
178	174	exact	1.000	
179	175	exact	1.000	
180	176	fuzzy	0.961	
181	177	exact	1.000	
182	178	exact	1.000	
183	179	exact	1.000	
184	180	exact	1.000	
185	181	exact	1.000	
186	182	exact	1.000	
187	183	exact	1.000	
188	184	exact	1.000	
189	185	exact	1.000	
190	186	exact	1.000	
191	187	exact	1.000	
192	188	exact	1.000	
193	189	exact	1.000	
194	190	exact	1.000	
195	191	fuzzy	0.985	
196	192	fuzzy	0.972	
197	193	exact	1.000	
198	194	fuzzy	0.987	
199	195	exact	1.000	
200	196	exact	1.000	
201	197	fuzzy	0.985	
202	198	exact	1.000	
203	199	fuzzy	0.941	
204	200	exact	1.000	
205	201	exact	1.000	
206	202	fuzzy	0.987	
207	203	exact	1.000	
208	204	exact	1.000	
209	205	exact	1.000	
210	206	exact	1.000	
211	207	fuzzy	0.972	
212	208	fuzzy	0.973	
213	209	fuzzy	0.907	
214	210	exact	1.000	
215	211	fuzzy	0.957	
216	212	fuzzy	0.985	
217	213	exact	1.000	
218	214	fuzzy	0.971	
219	215	exact	1.000	
220	216	exact	1.000	
221	217	exact	1.000	
222	218	exact	1.000	
223	219	exact	1.000	
224	220	exact	1.000	
225	221	exact	1.000	
226	222	exact	1.000	
227	223	exact	1.000	
228	224	exact	1.000	
229	225	fuzzy	0.974	
230	226	exact	1.000	
231	227	fuzzy	0.925	
232	228	exact	1.000	
233	229	exact	1.000	
234	230	exact	1.000	
235	231	exact	1.000	
236	232	exact	1.000	
237	233	exact	1.000	
238	234	exact	1.000	
239	235	exact	1.000	
240	236	exact	1.000	
241	237	exact	1.000	
242	238	exact	1.000	
243	239	exact	1.000	
244	240	exact	1.000	
245	241	exact	1.000	
246	242	exact	1.000	
247	243	exact	1.000	
248	244	exact	1.000	
249	245	exact	1.000	
250	246	exact	1.000	
251	247	exact	1.000	
252	248	exact	1.000	
253	249	exact	1.000	
254	250	exact	1.000	
255	251	exact	1.000	
256	252	exact	1.000	
257	253	exact	1.000	
258	254	exact	1.000	
259	255	exact	1.000	
260	256	exact	1.000	
261	257	exact	1.000	
262	258	exact	1.000	
263	259	exact	1.000	
264	260	exact	1.000	
265	261	exact	1.000	
266	262	exact	1.000	
267	263	fuzzy	0.972	
268	264	exact	1.000	
269	265	fuzzy	0.986	
270	266	exact	1.000	
271	267	exact	1.000	
272	268	exact	1.000	
273	269	exact	1.000	
274	270	exact	1.000	
275	271	exact	1.000	
276	272	exact	1.000	
277	273	exact	1.000	
278	274	exact	1.000	
279	275	exact	1.000	
280	276	exact	1.000	
281	277	exact	1.000	
282	278	exact	1.000	
283	279	exact	1.000	
284	280	exact	1.000	
285	281	exact	1.000	
286	282	exact	1.000	
287	283	exact	1.000	
288	284	exact	1.000	
289	285	exact	1.000	
290	286	exact	1.000	
291	287	exact	1.000	
292	288	exact	1.000	
293	289	exact	1.000	
294	290	exact	1.000	
295	291	exact	1.000	
296	292	exact	1.000	
297	293	exact	1.000	
298	294	exact	1.000	
299	295	exact	1.000	
300	296	exact	1.000	
301	297	exact	1.000	
302	298	exact	1.000	
303	299	fuzzy	0.959	
304	300	exact	1.000	
305	301	exact	1.000	
306	302	exact	1.000	
307	303	exact	1.000	
308	304	exact	1.000	
309	305	exact	1.000	
310	306	exact	1.000	
311	307	fuzzy	0.984	
312	308	exact	1.000	
313	309	exact	1.000	
314	310	exact	1.000	
315	311	fuzzy	0.944	
316	312	exact	1.000	
317	313	exact	1.000	
318	314	exact	1.000	
319	315	exact	1.000	
320	316	fuzzy	0.984	
321	317	exact	1.000	
322	318	exact	1.000	
323	319	exact	1.000	
323a	320	fuzzy	0.958	
324	321	exact	1.000	
325	322	exact	1.000	
326	323	exact	1.000	
327	324	exact	1.000	
328	325	exact	1.000	
329	326	exact	1.000	
330	327	exact	1.000	
331	328	exact	1.000	
333	329,330	split	0.989	
334	331,332	split	1.000	
335	333	exact	1.000	
336	334	exact	1.000	
337	335	exact	1.000	
338	336	exact	1.000	
339	337	fuzzy	0.882	REVIEW
340	338	fuzzy	0.857	REVIEW
343	339,340	split	0.988	
345	341,342	split	1.000	
346	343	exact	1.000	
347	344	exact	1.000	
348	345	exact	1.000	
350	346	exact	1.000	
351	347	fuzzy	0.794	REVIEW
352	348	fuzzy	0.878	REVIEW
355	349	fuzzy	0.978	
356	350	exact	1.000	
357	351,352	split	1.000	
358	353	fuzzy	0.872	REVIEW
360	354	fuzzy	0.857	REVIEW
361	355	exact	1.000	
365	356	exact	1.000	
366	357	fuzzy	0.972	
367	358,359	split	0.930	
370	360	fuzzy	0.873	REVIEW
371	361	fuzzy	0.886	REVIEW
375	362	exact	1.000	
376	363	exact	1.000	
377	364	exact	1.000	
378	365	exact	1.000	
379	366	exact	1.000	
380	367	exact	1.000	
381	368	exact	1.000	
382	369	fuzzy	0.935	
383	370	exact	1.000	
384	371	exact	1.000	
385	372	exact	1.000	
386	373	fuzzy	0.985	
387	374	exact	1.000	
388	375	exact	1.000	
389	376	exact	1.000	
390	377	fuzzy	0.904	
391	378	exact	1.000	
392	379	exact	1.000	
393	380	exact	1.000	
394	381	exact	1.000	
395	382	fuzzy	0.954	
396	383	exact	1.000	
397	384	exact	1.000	
398	385	exact	1.000	
399	386	exact	1.000	
400	387	exact	1.000	
401	388	exact	1.000	
402	389	exact	1.000	
403	390	fuzzy	0.958	
404	391	exact	1.000	
405	392	exact	1.000	
406	393	exact	1.000	
407	394	exact	1.000	
408	395	exact	1.000	
409	396	exact	1.000	
410	397	exact	1.000	
411	398	exact	1.000	
412	399	fuzzy	0.955	
413	400	exact	1.000	
414	401	fuzzy	0.930	
415	402	exact	1.000	
416	403	exact	1.000	
417	404	exact	1.000	
418	405	exact	1.000	
419	406	exact	1.000	
420	407	exact	1.000	
421	408	exact	1.000	
422	409	exact	1.000	
423	410	exact	1.000	
424	411	exact	1.000	
425	412	exact	1.000	
426	413	exact	1.000	
427	414	exact	1.000	
428	415	exact	1.000	
429	416	exact	1.000	
430	417	exact	1.000	
431	418	exact	1.000	
432	419	fuzzy	0.971	
433	420	exact	1.000	
434	421	exact	1.000	
435	422	exact	1.000	
436	423	fuzzy	0.900	
437	424	exact	1.000	
438	425	exact	1.000	
439	426	exact	1.000	
440	427	exact	1.000	
441	428	fuzzy	0.986	
442	429	exact	1.000	
443	430	exact	1.000	
444	431	exact	1.000	
445	432	exact	1.000	
446	433	fuzzy	0.958	
447	434	fuzzy	0.957	
448	435	exact	1.000	
449	436	exact	1.000	
450	437	exact	1.000	
451	438	exact	1.000	
452	439	fuzzy	0.932	
453	440	exact	1.000	
454	441	fuzzy	0.970	
455	442	exact	1.000	
456	443	exact	1.000	
457	444	fuzzy	0.986	
458	445	exact	1.000	
459	446	exact	1.000	
460	447	exact	1.000	
461	448	exact	1.000	
462	449	exact	1.000	
463	450	exact	1.000	
464	451	exact	1.000	
465	452	exact	1.000	
466	453	exact	1.000	
467	454	exact	1.000	
468	455	exact	1.000	
469	456	exact	1.000	
