# work: tlg0011.tlg002
# base (canonical axis): perseus-grc2
# target: bothe1806-grc1
# generated: 2026-08-30  method: exact anchors plus local sequence alignment
base	target	type	score	review
1	1	exact	1.000	
2	2	match	0.921	
3	3	exact	1.000	
4	4	match	0.935	
5	5	match	0.952	
6	6	match	0.982	
7	7	match	0.984	
8	8	exact	1.000	
9	9	exact	1.000	
10	10	exact	1.000	
11	11	exact	1.000	
12	12	match	0.949	
13	13	exact	1.000	
14	14	match	0.941	
15	15	exact	1.000	
16	16	match	0.983	
17	17	match	0.966	
18	18	match	0.983	
19	19	match	0.968	
20	20	match	0.970	
21	21	exact	1.000	
22	22	match	0.984	
23	23	match	0.945	
24	24	match	0.918	
25	25	exact	1.000	
26	26	match	0.985	
27	27	exact	1.000	
28	28	exact	1.000	
29	29	match	0.969	
30	30	match	0.984	
31	31	exact	1.000	
32	32	match	0.951	
33	33	match	0.928	
34	34	match	0.984	
35	35	match	0.969	
36	36	exact	1.000	
37	37	exact	1.000	
38	38	match	0.968	
39	39	match	0.935	
40	40	match	0.969	
41	41	exact	1.000	
42	42	match	0.984	
43	43	exact	1.000	
44	44	match	0.985	
45	45	exact	1.000	
46	46	match	0.983	
47	47	exact	1.000	
48	48	match	0.969	
49	49	exact	1.000	
50	50	match	0.982	
51	51	exact	1.000	
52	52	exact	1.000	
53	53	exact	1.000	
54	54	exact	1.000	
55	55	match	0.967	
56	56	match	0.966	
57	57	match	0.986	
58	58	match	0.984	
59	59	match	0.963	
60	60	exact	1.000	
61	61	match	0.968	
62	62	exact	1.000	
63	63	match	0.955	
64	64	match	0.967	
65	65	exact	1.000	
66	66	exact	1.000	
67	67	exact	1.000	
68	68	exact	1.000	
69	69	match	0.952	
70	70	match	0.983	
71	71	match	0.951	
72	72	exact	1.000	
73	73	match	0.983	
74	74	match	0.984	
75	75	match	0.984	
76	76	match	0.984	
77	77	match	0.962	
78	78	exact	1.000	
79	79	exact	1.000	
80	80	match	0.967	
81	81	match	0.983	
82	82	exact	1.000	
83	83	match	0.985	
84	84	match	0.933	
85	85	match	0.984	
86	86	match	0.931	
87	87	match	0.941	
88	88	exact	1.000	
89	89	match	0.943	
90	90	match	0.966	
91	91	exact	1.000	
92	92	exact	1.000	
93	93	exact	1.000	
94	94	exact	1.000	
95	95	match	0.929	
96	96	exact	1.000	
97	97	exact	1.000	
98	98	match	0.954	
99	99	match	0.985	
100	100,101	split_merge	0.957	
101	102	match	0.947	
102	103	match	0.919	
103	104	exact	1.000	
105	105	exact	1.000	
106	106,107	split_merge	0.831	
107	108,109	split_merge	1.000	
110	110	match	0.939	
111	111	exact	1.000	
112	112	exact	1.000	
113	113	match	0.952	
114	114	exact	1.000	
115	115	match	0.966	
116	116	match	0.958	
117	117,118	split_merge	0.951	
