# work: tlg0011.tlg007
# base (canonical axis): perseus-grc2
# target: campbell1879-grc1
# generated: 2026-09-02  method: exact anchors plus local sequence alignment
base	target	type	score	review
1	1	exact	1.000	
2	2	exact	1.000	
3	3	exact	1.000	
4	4	exact	1.000	
5	5	exact	1.000	
6	6	exact	1.000	
7	7	exact	1.000	
8	8	exact	1.000	
9	9	exact	1.000	
10	10	exact	1.000	
11	11	match	0.947	
12	12	exact	1.000	
13	13	exact	1.000	
14	14	exact	1.000	
15	15	exact	1.000	
16	16	match	0.984	
17	17	exact	1.000	
18	18	exact	1.000	
19	19	exact	1.000	
20	20	exact	1.000	
21	21	exact	1.000	
22	22	exact	1.000	
23	23	exact	1.000	
24	24	exact	1.000	
25	25	exact	1.000	
26	26	exact	1.000	
27	27	exact	1.000	
28	28	exact	1.000	
29	29	exact	1.000	
30	30	exact	1.000	
31	31	exact	1.000	
32	32	exact	1.000	
33	33	exact	1.000	
34	34	exact	1.000	
35	35	match	0.985	
36	36	exact	1.000	
37	37	exact	1.000	
38	38	exact	1.000	
39	39	exact	1.000	
40	40	exact	1.000	
41	41	exact	1.000	
42	42	exact	1.000	
43	43	exact	1.000	
44	44	exact	1.000	
45	45	exact	1.000	
46	46	exact	1.000	
46a	46a	exact	1.000	
47	47	match	0.925	
48	48	exact	1.000	
49	49	exact	1.000	
50	50	exact	1.000	
51	51	match	0.984	
52	52	exact	1.000	
53	53	exact	1.000	
54	54	match	0.984	
55	55	exact	1.000	
56	56	exact	1.000	
57	57	exact	1.000	
58	58	exact	1.000	
59	59	exact	1.000	
60	60	exact	1.000	
61	61	exact	1.000	
62	62	exact	1.000	
63	63	exact	1.000	
64	64	exact	1.000	
65	65	exact	1.000	
66	66	match	0.967	
67	67	exact	1.000	
68	68	exact	1.000	
69	69	exact	1.000	
70	70	exact	1.000	
71	71	match	0.949	
72	72	match	0.983	
73	73	exact	1.000	
74	74	exact	1.000	
75	75	exact	1.000	
76	76	exact	1.000	
77	77	exact	1.000	
78	78	match	0.971	
79	79	match	0.968	
80	80	match	0.949	
81	81	exact	1.000	
82	82	exact	1.000	
83	83	exact	1.000	
84	84	exact	1.000	
85	85	exact	1.000	
86	86	exact	1.000	
87	87	exact	1.000	
88	88	exact	1.000	
89	89	exact	1.000	
90	90	exact	1.000	
91	91	exact	1.000	
92	92	exact	1.000	
93	93	exact	1.000	
94	94	exact	1.000	
95	95	exact	1.000	
96	96	exact	1.000	
97	97	exact	1.000	
98	98	exact	1.000	
99	99	exact	1.000	
100	100	exact	1.000	
101	101	exact	1.000	
102	102	exact	1.000	
103	103	exact	1.000	
104	104	exact	1.000	
105	105	exact	1.000	
106	106	exact	1.000	
107	107	exact	1.000	
108	108	exact	1.000	
109	109	match	0.985	
110	110	match	0.967	
111	111	exact	1.000	
112	112	exact	1.000	
113	113	exact	1.000	
114	114	exact	1.000	
115	115	exact	1.000	
116	116	exact	1.000	
117	117	exact	1.000	
118	118	exact	1.000	
120	120	exact	1.000	
121	121	match	0.842	
122	122	match	0.824	
123	123,124	split_merge	1.000	
125	125	exact	1.000	
126	126	exact	1.000	
127	127	exact	1.000	
128	128	exact	1.000	
130	130	exact	1.000	
131	131	exact	1.000	
132	132	match	0.952	
133	133	exact	1.000	
134	134	exact	1.000	
135	135	exact	1.000	
136	136	exact	1.000	
137	137	exact	1.000	
138	138	exact	1.000	
139	139	exact	1.000	
140	140	exact	1.000	
141	141	exact	1.000	
142	142	exact	1.000	
143	143	exact	1.000	
144	144	exact	1.000	
145	145	exact	1.000	
146	146	exact	1.000	
147	147	exact	1.000	
148	148	exact	1.000	
149	149	match	0.929	
150	150	exact	1.000	
151	152	match	0.857	
152	153	exact	1.000	
153	154	match	0.800	
155	155	match	0.826	
156	156	exact	1.000	
157	157	exact	1.000	
158	158	exact	1.000	
160	160	exact	1.000	
161	161	match	0.957	
162	162	exact	1.000	
163	163	exact	1.000	
165	165	exact	1.000	
166	166	exact	1.000	
167	167	exact	1.000	
168	168	exact	1.000	
169	169	exact	1.000	
170	170	exact	1.000	
171	171	exact	1.000	
