ref_line	ref_widx	lemma	n_readings	apparatus	omit
2	7	ὅ	2	ὅ [colonna,dain,dawe,jebb,pearson,reinhardt,storr]  |  ὅτι [hermann]	
6	38	οὐκ	2	οὐκ [dain,dawe,hermann,jebb,pearson,reinhardt,storr]  |  οὐχ [colonna]	
14	86	θανόντοιν	2	θανόντων [colonna,dain,hermann,reinhardt]  |  θανόντοιν [dawe,jebb,pearson,storr]	
19	117	ἐξέπεμπον,	2	ἐξέπεμπον, [colonna,dain,dawe,hermann,jebb,pearson,storr]  |  ἐξέπτεμττον, [reinhardt]	
23	148	δίκης	2	δίκῃ [colonna,dain,dawe,hermann,pearson,reinhardt]  |  δίκης [jebb,storr]	
24	149	χρήσει	4	χρησθεὶς [colonna,dawe,pearson,reinhardt]  |  χρήσει [jebb,storr]  |  χρῆσθαι [dain]  |  χρῃσθεὶς [hermann]	
24	150	δικαίᾳ	2	δικαίᾳ [colonna,dawe,hermann,jebb,pearson,reinhardt,storr]  |  δικαιῶν [dain]	
24	152	νόμου	2	νόμῳ, [colonna,dain,dawe,hermann,pearson,reinhardt]  |  νόμου, [jebb,storr]	
30	185	χάριν	2	χάριν [colonna,dain,hermann,jebb,pearson,reinhardt,storr]  |  χαρὰν [dawe]	
31	188	φασι	2	φασι [colonna,dain,dawe,jebb,pearson,reinhardt,storr]  |  φασιν [hermann]	
34	206	σαφῆ	2	σαφῆ [dain,dawe,hermann,jebb,pearson,reinhardt,storr]  |  σαφῇ [colonna]	
40	251	ἢ	2	εἴθ᾽ [colonna,dain,dawe,pearson]  |  ἢ [hermann,jebb,reinhardt,storr]	
40	252	ʼφάπτουσα	3	ἅπτουσα [colonna,dain,dawe,pearson]  |  ᾽φάπτουσα [jebb,reinhardt,storr]  |  θάπτουσα [hermann]	
41	258	ξυνεργάσει	2	ξυνεργάσῃ [colonna,dain,dawe,pearson,reinhardt]  |  ξυνεργάσει, [hermann,jebb,storr]	
42	263	ποῦ	2	ποῦ [colonna,dawe,hermann,jebb,pearson,storr]  |  ποῖ [dain,reinhardt]	
57	352	ἐπαλλήλοιν	2	ἐπαλλήλοιν [colonna,dain,dawe,hermann,jebb,reinhardt,storr]  |  ἐπ᾽ [pearson]	
71	440	ὁποῖά	2	ὁποία [colonna,dain,dawe,jebb,pearson,reinhardt,storr]  |  ὁποίᾳ [hermann]	
76	473	αἰεὶ	2	αἰεὶ [colonna,dain,dawe,hermann,pearson,reinhardt,storr]  |  ἀεὶ [jebb]	
76	475	σοὶ	2	σοὶ [colonna,dain,dawe,hermann,jebb,pearson,storr]  |  σὺ [reinhardt]	
83	521	πότμον.	2	πότμον. [colonna,dain,hermann,jebb,pearson,reinhardt,storr]  |  βίον. [dawe]	
85	529	κρυφῇ	2	κρυφῇ [colonna,dain,dawe,jebb,pearson,reinhardt,storr]  |  κρυφῆ [hermann]	
86	540	ἔσει	2	ἔσῃ [colonna,dain,dawe,pearson,reinhardt]  |  ἔσει [hermann,jebb,storr]	
90	562	δυνήσει	2	δυνήσῃ [colonna,dain,dawe,pearson,reinhardt]  |  δυνήσει [hermann,jebb,storr]	
93	582	ἐχθαρεῖ	2	ἐχθαρῇ [colonna,dain,dawe,pearson,reinhardt]  |  ἐχθαρεῖ [hermann,jebb,storr]	
94	590	προσκείσει	4	προσκείσῃ [dain,pearson,reinhardt]  |  προσκείσει [hermann,jebb,storr]  |  προσχείσῃ [colonna]  |  προσκλήισηι [dawe]	
99	625	ἔρχει,	2	ἔρχῃ, [colonna,dain,dawe,pearson,reinhardt]  |  ἔρχει, [hermann,jebb,storr]	
100	634	κάλλιστον	2	κάλ- [colonna,dain,dawe,hermann,pearson,reinhardt]  |  κάλλιστον [jebb,storr]	
101	639	προτέρων	2	προτέρων [colonna,dawe,hermann,jebb,reinhardt,storr]  |  πρότερον [dain,pearson]	
105	647	Διρκαίων	2	Διρκαί- [colonna,dain,dawe,pearson,reinhardt]  |  Διρκαίων [hermann,jebb,storr]	
106	653	Ἀργόθεν	2	Ἀργόθεν [colonna,dawe,hermann,jebb,pearson,reinhardt,storr]  |  Ἀπιόθεν [dain]	
106	654	ἐκβάντα	2	ἐκβάντα [jebb,storr]  |  ἒκ [reinhardt]	colonna,dain,hermann,pearson
107	659	ὀξυτέρῳ	2	ὀξυτέρῳ [dain,hermann,jebb,pearson,reinhardt,storr]  |  ὀξυτόρῳ [colonna,dawe]	
110	662	ὃς	2	ὃν [colonna,dain,dawe,hermann,pearson,reinhardt]  |  ὃς [jebb,storr]	
110	664	ἡμετέρᾳ	2	ἡμετέρᾳ [colonna,dain,jebb,reinhardt,storr]  |  ἁμετέραι [dawe,hermann,pearson]	
