ref_line	ref_widx	lemma	n_readings	apparatus	omit
2	6	οἶσθʼ	2	οἶσθ᾽ [benloew,boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  οἶσθά [bothe]	
2	7	ὅ	2	ὅ [brown,colonna,dain,dawe,griffith,jebb,pearson,reinhardt,storr]  |  ὅτι [benloew,boeckh,hermann,lj]	bothe
3	14	ὁποῖον	2	ὁποῖον [benloew,boeckh,bothe,brown,colonna,dain,dawe,griffith,hermann,jebb,pearson,reinhardt,storr]  |  ἆ, [lj]	
4	24	οὔτʼ	2	οὔτ᾽ [benloew,boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  οὐκ [bothe]	
4	25	ἄτης	2	ἄτης [benloew,boeckh,bothe,brown,colonna,dain,dawe,hermann,jebb,lj,pearson,reinhardt,storr]  |  ἀτήριον [griffith]	
4	26	ἄτερ	2	ἄτερ [benloew,boeckh,bothe,brown,colonna,dain,dawe,hermann,jebb,pearson,reinhardt,storr]  |  γέμον [lj]	griffith
6	37	κἀμῶν	2	κἀμῶν [benloew,boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  κᾀμῶν [bothe]	
6	38	οὐκ	2	οὐκ [benloew,boeckh,bothe,brown,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  οὐχ [colonna]	
12	79	ἐξ	2	ἐξ [benloew,bothe,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  ἐξότου [boeckh]	
14	86	θανόντοιν	2	θανόντων [benloew,boeckh,bothe,colonna,dain,hermann,reinhardt]  |  θανόντοιν [brown,dawe,griffith,jebb,lj,pearson,storr]	
19	117	ἐξέπεμπον,	2	ἐξέπεμπον, [benloew,boeckh,bothe,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,storr]  |  ἐξέπτεμττον, [reinhardt]	
23	147	σὺν	2	σὺν [benloew,boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  ξυνδίκῃ [bothe]	
23	148	δίκης	3	δίκῃ [benloew,boeckh,brown,colonna,dain,dawe,griffith,hermann,pearson,reinhardt]  |  δίκης [jebb,lj,storr]  |  χρησθεὶς [bothe]	
24	149	χρήσει	4	χρησθεὶς [boeckh,brown,colonna,dawe,pearson,reinhardt]  |  χρήσει [jebb,lj,storr]  |  χρῃσθεὶς [benloew,hermann]  |  χρῆσθαι [dain,griffith]	bothe
24	150	δικαίᾳ	2	δικαίᾳ [benloew,boeckh,bothe,brown,colonna,dawe,hermann,jebb,lj,pearson,reinhardt,storr]  |  δικαιῶν [dain,griffith]	
24	151	καὶ	2	καὶ [benloew,boeckh,bothe,brown,colonna,dain,dawe,hermann,jebb,lj,pearson,reinhardt,storr]  |  τῶι [griffith]	
24	152	νόμου	2	νόμῳ, [benloew,boeckh,bothe,brown,colonna,dain,dawe,griffith,hermann,lj,pearson,reinhardt]  |  νόμου, [jebb,storr]	
29	176	ἐᾶν	2	ἐᾶν [boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  ἐᾷν [benloew,bothe]	
29	178	ἄκλαυτον,	2	ἄκλαυτον, [boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  ἄκλαυστον, [benloew,bothe]	
30	183	εἰσορῶσι	2	εἰσορῶσι [benloew,boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  εἰσορμῶσι [bothe]	
30	185	χάριν	2	χάριν [benloew,boeckh,bothe,brown,colonna,dain,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  χαρὰν [dawe]	
31	188	φασι	2	φασι [benloew,boeckh,bothe,brown,colonna,dain,dawe,griffith,jebb,lj,pearson,reinhardt,storr]  |  φασιν [hermann]	
32	193	κἀμοί,	2	κἀμοὶ [benloew,boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  κᾀμοὶ [bothe]	
32	194	λέγω	2	λέγω [benloew,boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  (λέγων [bothe]	
32	196	κἀμέ,	2	κἀμὲ, [benloew,boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  ἔκαμε) [bothe]	
33	203	τοῖσι	2	τοῖσι [benloew,boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  τοῖς [bothe]	
33	205	εἰδόσιν	3	εἰδόσιν [boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  εἰδόσι [benloew]  |  οὐκ [bothe]	
34	206	σαφῆ	2	σαφῆ [benloew,boeckh,bothe,brown,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  σαφῇ [colonna]	
