ref_line	ref_widx	storr	benloew	boeckh	bothe	brown	colonna	dain	dawe	griffith	hermann	jebb	lj	pearson	reinhardt
1	0	ὦ	ὦ	ὦ	ὦ	ὦ	ὦ	ὦ	ὦ	ὦ	ὦ	ὦ	Ὦ	ὦ	ὦ
1	1	κοινὸν	κοινὸν	κοινὸν	κοινὸν	κοινὸν	κοινὸν	κοινὸν	κοινὸν	κοινὸν	κοινὸν	κοινὸν	κοινὸν	κοινὸν	κοινὸν
1	2	αὐτάδελφον	αὐτάδελφον	αὐτάδελφον	αὐτάδελφον	αὐτάδελφον	αὐτάδελφον	αὐτάδελφον	αὐτάδελφον	αὐτάδελφον	αὐτάδελφον	αὐτάδελφον	αὐτάδελφον	αὐτάδελφον	αὐτάδελφον
1	3	Ἰσμήνης	Ἰσμήνης	Ἰσμήνης	Ἰσμήνης	Ἰσμήνης	Ἰσμήνης	Ἰσμήνης	Ἰσμήνης	Ἰσμήνης	Ἰσμήνης	Ἰσμήνης	Ἰσμήνης	Ἰσμήνης	Ἰσμήνης
1	4	κάρα,	κάρα,	κάρα,	κάρα,	κάρα,	κάρα,	κάρα,	κάρα,	κάρα,	κάρα,	κάρα,	κάρα,	κάρα,	κάρα,
2	5	ἆρʼ	ἆρ᾽	ἆρ᾽	ἆρ᾽	ἆρ᾽	ἆρ᾽	ἆρ’	ἆρ᾽	ἆρ᾽	ἆρ'	ἆρ᾽	ἆρ᾿	ἆρ’	ἆρ᾽
2	6	οἶσθʼ	οἶσθ᾽	οἶσθ᾽,	οἶσθά	οἶσθ᾽	οἶσθ᾽	οἶσθ’	οἶσθ᾽	οἶσθ᾽	οἶσθ᾽	οἶσθ᾽	οἶσθ᾿	οἶσθ᾽	οἶσθ᾽
2	7	ὅ	ὅτι	ὅτι		ὅ	ὅ	ὅ	ὅ	ὅ	ὅτι	ὅ	ὅτι	ὅ	ὅ
2	8	τι			τι	τι	τι	τι	τι	τι		τι		τι	τι
2	9	Ζεὺς	Ζεὺς	Ζεὺς	Ζεὺς	Ζεὺς	Ζεὺς	Ζεὺς	Ζεὺς	Ζεὺς	Ζεὺς	Ζεὺς	Ζεὺς	Ζεὺς	Ζεὺς
2	10	τῶν	τῶν	τῶν	τῶν	τῶν	τῶν	τῶν	τῶν	τῶν	τῶν	τῶν	τῶν	τῶν	τῶν
2	11	ἀπʼ	ἀπ᾽	ἀπ’	ἀπ᾿	ἀπ’	ἀπ᾿	ἀπ’	ἀπ᾿	ἀπ᾽	ἀπ᾿	ἀπ᾽	ἀπ᾿	ἀπ᾽	ἀπ᾽
2	12	Οἰδίπου	Οἰδίπου	Οἰδίπου	Οἰδίπου	Οἰδίπου	Οἰδίπου	Οἰδίπου	Οἰδίπου	Οἰδίπου	Οἰδίπου	Οἰδίπου	Οἰδίπου	Οἰδίπου	Οἰδίπου
2	13	κακῶν	κακῶν	κακῶν	κακῶν	κακῶν	κακῶν	κακῶν	κακῶν	κακῶν	κακῶν	κακῶν	κακῶν—	κακῶν	κακῶν
3	14	ὁποῖον	ὁποῖον	ὁποῖον	ὁποῖον	ὁποῖον	ὁποῖον	ὁποῖον	ὁποῖον	ὁποῖον	ὁποῖον	ὁποῖον	ἆ,	ὁποῖον	ὁποῖον
3	15	οὐχὶ	οὐχὶ	οὐχὶ	οὐχὶ	οὐχὶ	οὐχὶ	οὐχὶ	οὐχὶ	οὐχὶ	οὐχὶ	οὐχὶ	οὐχὶ	οὐχὶ	οὐχὶ
3	16	νῷν	νῷν	νῷν	νῷν	νῶιν	νῷν	νῷν	νῶιν	νῶιν	νῷν	νῷν	νῷν	νῷν	νῶιν
3	17	ἔτι	ἔτι	ἔτι	ἔτι	ἔτι	ἔτι	ἔτι	ἔτι	ἔτι	ἔτι	ἔτι	ἔτι	ἔτι	ἔτι
3	18	ζώσαιν	ζώσαιν	ζώσαιν	ζώσαιν	ζώσαιν	ζώσαιν	ζώσαιν	ζώσαιν	ζώσαιν	ζώσαιν	ζώσαιν	ζώσαιν	ζώσαιν	ζώσαιν
3	19	τελεῖ;	τελεῖ;	τελεῖ;	τελεῖ;	τελεῖ;	τελεῖ;	τελεῖ;	τελεῖ;	τελεῖ;	τελεῖ;	τελεῖ	τελεῖ;	τελεῖ;	τελεῖ;
4	20	οὐδὲν	οὐδὲν	οὐδὲν	οὐδὲν	οὐδὲν	οὐδὲν	οὐδὲν	οὐδὲν	οὐδὲν	οὐδὲν	οὐδὲν	οὐδὲν	οὐδὲν	οὐδὲν
4	21	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ
4	22	οὔτʼ	οὔτ᾽	οὔτ᾽	οὔτ᾽	οὔτ᾽	οὔτ᾽	οὔτ’	οὔτ᾽	οὔτ᾽	οὔτ᾽	οὔτ᾽	οὔτ᾿	οὔτ᾽	οὔτ᾽
4	23	ἀλγεινὸν	ἀλγεινὸν,	ἀλγεινὸν	ἀλγεινὸν,	ἀλγεινὸν	ἀλγεινὸν	ἀλγεινὸν	ἀλγεινὸν	ἀλγεινὸν	ἀλγεινόν,	ἀλγεινὸν	ἀλγεινὸν	ἀλγεινὸν	ἀλγεινὸν
4	24	οὔτʼ	οὔτ᾽	οὔτ᾽	οὐκ	οὔτ᾽	οὔτ᾽	οὔτ’	οὔτ᾽	οὔτ᾽	οὔτ᾽	οὔτ᾽	οὔτ᾿	οὔτ᾽	οὔτ᾽
4	25	ἄτης	ἄτης	ἄτης	ἄτης	†ἄτης	ἄτης	ἄτης	ἄτης	ἀτήριον	ἄτης	ἄτης	ἄτης	ἄτης	ἄτης
4	26	ἄτερ	ἄτερ	ἄτερ	ἄτερ,	ἄτερ†	ἄτερ,	ἄτερ	ἄτερ		ἄτερ,	ἄτερ	γέμον	ἄτερ	ἄτερ
5	27	οὔτʼ	οὔτ᾽	οὔτ᾽	οὔτ᾽	οὔτ᾽	οὔτ᾽	οὔτ’	οὔτ᾽	οὔτ᾽	οὔτ᾽	οὔτ᾽	οὔτ᾿	οὔτ᾽	οὔτ᾽
5	28	αἰσχρὸν	αἰσχρὸν	αἰσχρὸν	αἰσχρὸν,	αἰσχρὸν	αἰσχρόν,	αἰσχρὸν	αἰσχρὸν	αἰσχρὸν	αἰσχρόν	αἰσχρὸν	αἰσχρὸν	αἰσχρὸν	αἰσχρὸν
5	29	οὔτʼ	οὔτ᾽	οὔτ᾽	οὔτ᾽	οὔτ᾽	οὔτ᾽	οὔτ’	οὔτ᾽	οὔτ᾽	οὔτ᾽	οὔτ᾽	οὔτ᾿	οὔτ᾽	οὔτ᾽
5	30	ἄτιμόν	ἄτιμόν	ἄτιμόν	ἄτιμόν	ἄτιμόν	ἄτιμόν	ἄτιμόν	ἄτιμόν	ἄτιμόν	ἄτιμον	ἄτιμόν	ἄτιμόν	ἄτιμόν	ἄτιμόν
5	31	ἐσθʼ,	ἐσθ᾽,	ἐσθ',	ἐσθ᾽,	ἐσθ᾽	ἐσθ’,	ἐσθ’	ἐσθ',	ἐσθ᾽,	ἔσθ᾽	ἐσθ᾽,	ἐσθ᾿,	ἐσθ᾽,	ἐσθ᾽,
5	32	ὁποῖον	ὁποῖον	ὁποῖον	ὁποῖον	ὁποῖον	ὁποῖον	ὁποῖον	ὁποῖον	ὁποῖον	ὁποῖον	ὁποῖον	ὁποῖον	ὁποῖον	ὁποῖον
5	33	οὐ	οὐ	οὐ	οὐ	οὐ	οὐ	οὐ	οὐ	οὐ	οὔ,	οὐ	οὐ	οὐ	οὐ
6	34	τῶν	τῶν	τῶν	τῶν	τῶν	τῶν	τῶν	τῶν	τῶν	τῶν	τῶν	τῶν	τῶν	τῶν
6	35	σῶν	σῶν	σῶν	σῶν	σῶν	σῶν	σῶν	σῶν	σῶν	σῶν	σῶν	σῶν	σῶν	σῶν
6	36	τε	τε	τε	τε	τε	τε	τε	τε	τε	τε	τε	τε	τε	τε
6	37	κἀμῶν	κἀμῶν	κἀμῶν	κᾀμῶν	κἀμῶν	κἀμῶν	κἀμῶν	κἀμῶν	κἀμῶν	κἀμῶν	κἀμῶν	κἀμῶν	κἀμῶν	κἀμῶν
6	38	οὐκ	οὐκ	οὐκ	οὐκ	οὐκ	οὐχ	οὐκ	οὐκ	οὐκ	οὐκ	οὐκ	οὐκ	οὐκ	οὐκ
6	39	ὄπωπʼ	ὄπωπ᾽	ὄπωπ᾽	ὄπωπ᾽	ὄπωπ᾽	ὄπωπ᾽	ὄπωπ’	ὄπωπ᾽	ὄπωπ᾽	ὄπωπ᾽	ὄπωπ᾽	ὄπωπ᾿	ὄπωπ᾽	ὄπωπ᾽
6	40	ἐγὼ	ἐγὼ	ἐγὼ	ἐγὼ	ἐγὼ	ἐγὼ	ἐγὼ	ἐγὼ	ἐγὼ	ἐγὼ	ἐγὼ	ἐγὼ	ἐγὼ	ἐγὼ
6	41	κακῶν.	κακῶν.	κακῶν.	κακῶν.	κακῶν.	κακῶν.	κακῶν.	κακῶν.	κακῶν.	κακῶν.	κακῶν.	κακῶν.	κακῶν.	κακῶν.
7	42	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ
7	43	νῦν	νῦν	νῦν	νῦν	νῦν	νῦν	νῦν	νῦν	νῦν	νῦν	νῦν	νῦν	νῦν	νῦν
7	44	τί	τί	τί	τί	τί	τί	τί	τί	τί	τί	τί	τί	τί	τί
