	benloew	boeckh	bothe	brown	colonna	dain	dawe	griffith	hermann	jebb	lj	pearson	reinhardt	storr
benloew	0.0	0.05828707375099128	0.09785732950091455	0.07897517168515583	0.0689882601239942	0.07455216016859853	0.08721843897328445	0.070446735395189	0.05821782178217822	0.06750330250990753	0.0866535174227482	0.07141912445443724	0.07724700618502435	0.0692073574169644
boeckh	0.05828707375099128	0.0	0.09125827814569537	0.06172344689378757	0.043221476510067115	0.04705093833780161	0.07293183322303111	0.05679540291327008	0.029830690674549853	0.03982777179763186	0.05694760820045558	0.05588982484289343	0.04946380697050938	0.04151502897964685
bothe	0.09785732950091455	0.09125827814569537	0.0	0.1185973207249803	0.10433174854727945	0.10658224508640021	0.129347401328644	0.11552109344197661	0.09227921734531994	0.0989010989010989	0.11222471317420546	0.1137559179379274	0.10892786496109719	0.1005438387053986
brown	0.07897517168515583	0.06172344689378757	0.1185973207249803	0.0	0.048937023666265546	0.051535380507343125	0.033880218754168336	0.03171190540177372	0.06386666666666667	0.04590471092077088	0.04835693294149078	0.03853383458646616	0.04260450160771704	0.04893417348169996
colonna	0.0689882601239942	0.043221476510067115	0.10433174854727945	0.048937023666265546	0.0	0.01988979975809703	0.057623526294873495	0.03894539614561028	0.04420037503348513	0.03240553986822643	0.04249899450328462	0.04135438972162741	0.02993288590604027	0.03474747474747475
dain	0.07455216016859853	0.04705093833780161	0.10658224508640021	0.051535380507343125	0.01988979975809703	0.0	0.056821192052980134	0.04196738839882384	0.04737053392211963	0.036773587437927795	0.04672646940688178	0.04635938543754175	0.02885131508319914	0.03606027987082885
dawe	0.08721843897328445	0.07293183322303111	0.129347401328644	0.033880218754168336	0.057623526294873495	0.056821192052980134	0.0	0.039291422482685134	0.07422081352350766	0.055710306406685235	0.05670376258611553	0.04725772097976571	0.050710208416301604	0.05780730897009967
griffith	0.070446735395189	0.05679540291327008	0.11552109344197661	0.03171190540177372	0.03894539614561028	0.04196738839882384	0.039291422482685134	0.0	0.059866666666666665	0.0387243735763098	0.031877846236271094	0.026892564205997043	0.038811563169164884	0.04013961605584642
hermann	0.05821782178217822	0.029830690674549853	0.09227921734531994	0.06386666666666667	0.04420037503348513	0.04737053392211963	0.07422081352350766	0.059866666666666665	0.0	0.04388672661387733	0.06017651778550415	0.060274703293772505	0.05203317281968967	0.043729817007534984
jebb	0.06750330250990753	0.03982777179763186	0.0989010989010989	0.04590471092077088	0.03240553986822643	0.036773587437927795	0.055710306406685235	0.0387243735763098	0.04388672661387733	0.0	0.04176178326843024	0.042749932993835435	0.031586021505376344	0.012046561992420142
lj	0.0866535174227482	0.05694760820045558	0.11222471317420546	0.04835693294149078	0.04249899450328462	0.04672646940688178	0.05670376258611553	0.031877846236271094	0.06017651778550415	0.04176178326843024	0.0	0.04533297673174646	0.04487007768550764	0.043454863446791336
pearson	0.07141912445443724	0.05588982484289343	0.1137559179379274	0.03853383458646616	0.04135438972162741	0.04635938543754175	0.04725772097976571	0.026892564205997043	0.060274703293772505	0.042749932993835435	0.04533297673174646	0.0	0.040412150408135956	0.04311039484286865
reinhardt	0.07724700618502435	0.04946380697050938	0.10892786496109719	0.04260450160771704	0.02993288590604027	0.02885131508319914	0.050710208416301604	0.038811563169164884	0.05203317281968967	0.031586021505376344	0.04487007768550764	0.040412150408135956	0.0	0.032983306408185246
storr	0.0692073574169644	0.04151502897964685	0.1005438387053986	0.04893417348169996	0.03474747474747475	0.03606027987082885	0.05780730897009967	0.04013961605584642	0.043729817007534984	0.012046561992420142	0.043454863446791336	0.04311039484286865	0.032983306408185246	0.0
